Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/naresh/Documents/nareshpane.github.io/research/gpt-6-astra-blender/blender/city_master.blend"
Fra:1 Mem:35.76M (Peak 35.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | City foundation
Fra:1 Mem:37.36M (Peak 37.36M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B016 • Old Quay
Fra:1 Mem:37.36M (Peak 37.36M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B017 • Old Quay
Fra:1 Mem:37.57M (Peak 37.57M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B018 • Old Quay
Fra:1 Mem:37.60M (Peak 37.60M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B019 • Civic Terrace
Fra:1 Mem:37.66M (Peak 37.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B020 • Civic Terrace
Fra:1 Mem:37.84M (Peak 37.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B021 • Civic Terrace
Fra:1 Mem:37.96M (Peak 37.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B022 • Civic Terrace
Fra:1 Mem:38.04M (Peak 38.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B023 • Civic Terrace
Fra:1 Mem:38.13M (Peak 38.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B024 • Civic Terrace
Fra:1 Mem:38.21M (Peak 38.21M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B025 • Civic Terrace
Fra:1 Mem:38.24M (Peak 38.24M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B026 • Civic Terrace
Fra:1 Mem:38.40M (Peak 38.40M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B027 • Civic Terrace
Fra:1 Mem:38.55M (Peak 38.55M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B028 • Civic Terrace
Fra:1 Mem:38.60M (Peak 38.60M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B029 • Civic Terrace
Fra:1 Mem:38.69M (Peak 38.69M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B030 • Civic Terrace
Fra:1 Mem:38.75M (Peak 38.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B031 • Civic Terrace
Fra:1 Mem:38.84M (Peak 38.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B032 • Civic Terrace
Fra:1 Mem:38.96M (Peak 38.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B033 • Civic Terrace
Fra:1 Mem:39.14M (Peak 39.14M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B034 • Civic Terrace
Fra:1 Mem:39.19M (Peak 39.19M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B036 • Civic Terrace
Fra:1 Mem:39.45M (Peak 39.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B037 • Old Quay
Fra:1 Mem:39.43M (Peak 39.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B038 • Old Quay
Fra:1 Mem:39.66M (Peak 39.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B039 • Old Quay
Fra:1 Mem:39.66M (Peak 39.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B040 • Old Quay
Fra:1 Mem:39.72M (Peak 39.72M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B041 • Old Quay
Fra:1 Mem:39.75M (Peak 39.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B042 • Old Quay
Fra:1 Mem:39.72M (Peak 39.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B043 • Old Quay
Fra:1 Mem:39.77M (Peak 39.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B044 • Old Quay
Fra:1 Mem:39.84M (Peak 39.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B046 • Old Quay
Fra:1 Mem:39.89M (Peak 39.89M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B047 • Old Quay
Fra:1 Mem:39.88M (Peak 39.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B048 • Old Quay
Fra:1 Mem:39.96M (Peak 39.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B049 • Old Quay
Fra:1 Mem:40.01M (Peak 40.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B050 • Old Quay
Fra:1 Mem:40.05M (Peak 40.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B051 • Old Quay
Fra:1 Mem:40.07M (Peak 40.07M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B052 • Old Quay
Fra:1 Mem:40.14M (Peak 40.14M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B053 • Old Quay
Fra:1 Mem:40.24M (Peak 40.24M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B054 • Old Quay
Fra:1 Mem:40.28M (Peak 40.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B055 • Civic Terrace
Fra:1 Mem:40.35M (Peak 40.35M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B056 • Civic Terrace
Fra:1 Mem:40.43M (Peak 40.43M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B058 • Civic Terrace
Fra:1 Mem:40.50M (Peak 40.50M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B059 • Civic Terrace
Fra:1 Mem:40.74M (Peak 40.74M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B060 • Civic Terrace
Fra:1 Mem:40.75M (Peak 40.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B061 • Civic Terrace
Fra:1 Mem:40.92M (Peak 40.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B062 • Civic Terrace
Fra:1 Mem:40.95M (Peak 40.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B063 • Civic Terrace
Fra:1 Mem:41.11M (Peak 41.11M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B064 • Civic Terrace
Fra:1 Mem:41.23M (Peak 41.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B065 • Civic Terrace
Fra:1 Mem:41.22M (Peak 41.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B066 • Civic Terrace
Fra:1 Mem:41.22M (Peak 41.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B067 • Old Quay
Fra:1 Mem:41.28M (Peak 41.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B068 • Old Quay
Fra:1 Mem:41.45M (Peak 41.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B069 • Old Quay
Fra:1 Mem:41.43M (Peak 41.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B071 • Old Quay
Fra:1 Mem:41.54M (Peak 41.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B072 • Old Quay
Fra:1 Mem:41.58M (Peak 41.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B074 • Old Quay
Fra:1 Mem:41.68M (Peak 41.68M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B075 • Old Quay
Fra:1 Mem:41.67M (Peak 41.68M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B077 • Old Quay
Fra:1 Mem:41.83M (Peak 41.83M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B078 • Old Quay
Fra:1 Mem:41.83M (Peak 41.83M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B080 • Old Quay
Fra:1 Mem:41.93M (Peak 41.93M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B081 • Old Quay
Fra:1 Mem:41.93M (Peak 41.93M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B082 • Old Quay
Fra:1 Mem:42.00M (Peak 42.00M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B083 • Old Quay
Fra:1 Mem:42.06M (Peak 42.06M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B084 • Old Quay
Fra:1 Mem:42.06M (Peak 42.06M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B085 • Civic Terrace
Fra:1 Mem:42.12M (Peak 42.12M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B086 • Civic Terrace
Fra:1 Mem:42.25M (Peak 42.25M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B087 • Civic Terrace
Fra:1 Mem:42.41M (Peak 42.41M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B088 • Civic Terrace
Fra:1 Mem:42.38M (Peak 42.41M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B090 • Civic Terrace
Fra:1 Mem:42.45M (Peak 42.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B091 • Civic Terrace
Fra:1 Mem:42.89M (Peak 42.89M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B092 • Civic Terrace
Fra:1 Mem:42.90M (Peak 42.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B093 • Civic Terrace
Fra:1 Mem:42.87M (Peak 42.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B094 • Civic Terrace
Fra:1 Mem:42.91M (Peak 42.91M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B095 • Civic Terrace
Fra:1 Mem:43.26M (Peak 43.26M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B096 • Civic Terrace
Fra:1 Mem:43.28M (Peak 43.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Afternoon sun
Fra:1 Mem:43.25M (Peak 43.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B099 • Civic Terrace
Fra:1 Mem:43.25M (Peak 43.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sky fill
Fra:1 Mem:43.52M (Peak 43.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B100 • Civic Terrace
Fra:1 Mem:43.53M (Peak 43.53M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B101 • Civic Terrace
Fra:1 Mem:43.59M (Peak 43.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B102 • Civic Terrace
Fra:1 Mem:43.64M (Peak 43.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm softbox
Fra:1 Mem:43.65M (Peak 43.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Studio floor • excluded from GLB
Fra:1 Mem:43.65M (Peak 43.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B103 • Garden Quarter
Fra:1 Mem:43.62M (Peak 43.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B104 • Garden Quarter
Fra:1 Mem:43.66M (Peak 43.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closure_route
Fra:1 Mem:43.86M (Peak 43.86M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B106 • Garden Quarter
Fra:1 Mem:43.85M (Peak 43.86M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B107 • Garden Quarter
Fra:1 Mem:43.96M (Peak 43.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Four station shelters • batched
Fra:1 Mem:43.97M (Peak 43.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B108 • Garden Quarter
Fra:1 Mem:43.98M (Peak 43.98M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B109 • Garden Quarter
Fra:1 Mem:44.03M (Peak 44.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B110 • Garden Quarter
Fra:1 Mem:44.05M (Peak 44.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B111 • Garden Quarter
Fra:1 Mem:44.07M (Peak 44.07M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Existing transit • corridor offset 2 m for visibility
Fra:1 Mem:44.22M (Peak 44.22M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B112 • Garden Quarter
Fra:1 Mem:44.21M (Peak 44.22M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B113 • Garden Quarter
Fra:1 Mem:44.30M (Peak 44.30M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B114 • Garden Quarter
Fra:1 Mem:44.30M (Peak 44.30M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B115 • Garden Quarter
Fra:1 Mem:44.32M (Peak 44.32M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B116 • Garden Quarter
Fra:1 Mem:44.36M (Peak 44.36M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B117 • Garden Quarter
Fra:1 Mem:44.43M (Peak 44.43M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lamp_0
Fra:1 Mem:44.44M (Peak 44.46M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B118 • Garden Quarter
Fra:1 Mem:44.46M (Peak 44.46M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B119 • Garden Quarter
Fra:1 Mem:44.49M (Peak 44.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B120 • Garden Quarter
Fra:1 Mem:44.54M (Peak 44.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B121 • Innovation District
Fra:1 Mem:44.56M (Peak 44.56M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tree_00_00
Fra:1 Mem:44.64M (Peak 44.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B122 • Innovation District
Fra:1 Mem:44.75M (Peak 44.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B123 • Innovation District
Fra:1 Mem:44.92M (Peak 44.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B124 • Innovation District
Fra:1 Mem:45.01M (Peak 45.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B125 • Innovation District
Fra:1 Mem:45.09M (Peak 45.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B203 • Innovation District
Fra:1 Mem:45.06M (Peak 45.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B127 • Innovation District
Fra:1 Mem:45.09M (Peak 45.11M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B128 • Innovation District
Fra:1 Mem:45.40M (Peak 45.40M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B129 • Innovation District
Fra:1 Mem:45.39M (Peak 45.40M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B130 • Innovation District
Fra:1 Mem:45.58M (Peak 45.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B131 • Innovation District
Fra:1 Mem:45.61M (Peak 45.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B202 • Innovation District
Fra:1 Mem:45.74M (Peak 45.74M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B132 • Innovation District
Fra:1 Mem:45.80M (Peak 45.80M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B133 • Innovation District
Fra:1 Mem:45.83M (Peak 45.83M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B134 • Innovation District
Fra:1 Mem:45.85M (Peak 45.85M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B135 • Innovation District
Fra:1 Mem:46.05M (Peak 46.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B136 • Innovation District
Fra:1 Mem:46.12M (Peak 46.12M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B137 • Innovation District
Fra:1 Mem:46.23M (Peak 46.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B138 • Innovation District
Fra:1 Mem:46.23M (Peak 46.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B139 • Garden Quarter
Fra:1 Mem:46.36M (Peak 46.36M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B200 • Innovation District
Fra:1 Mem:46.41M (Peak 46.41M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B140 • Garden Quarter
Fra:1 Mem:46.49M (Peak 46.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B141 • Garden Quarter
Fra:1 Mem:46.52M (Peak 46.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B142 • Garden Quarter
Fra:1 Mem:46.66M (Peak 46.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B143 • Garden Quarter
Fra:1 Mem:46.71M (Peak 46.71M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B144 • Garden Quarter
Fra:1 Mem:46.77M (Peak 46.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B145 • Garden Quarter
Fra:1 Mem:46.77M (Peak 46.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B146 • Garden Quarter
Fra:1 Mem:46.80M (Peak 46.80M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B147 • Garden Quarter
Fra:1 Mem:46.85M (Peak 46.85M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B148 • Garden Quarter
Fra:1 Mem:46.93M (Peak 46.93M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B149 • Garden Quarter
Fra:1 Mem:46.98M (Peak 46.98M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B150 • Garden Quarter
Fra:1 Mem:46.95M (Peak 46.98M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B151 • Innovation District
Fra:1 Mem:46.97M (Peak 46.98M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B152 • Innovation District
Fra:1 Mem:47.16M (Peak 47.16M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B153 • Innovation District
Fra:1 Mem:47.30M (Peak 47.30M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B154 • Innovation District
Fra:1 Mem:47.46M (Peak 47.46M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B155 • Innovation District
Fra:1 Mem:47.58M (Peak 47.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B156 • Innovation District
Fra:1 Mem:47.64M (Peak 47.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B157 • Innovation District
Fra:1 Mem:47.66M (Peak 47.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B158 • Innovation District
Fra:1 Mem:47.95M (Peak 47.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B159 • Innovation District
Fra:1 Mem:47.97M (Peak 47.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B160 • Innovation District
Fra:1 Mem:47.99M (Peak 47.99M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B161 • Innovation District
Fra:1 Mem:48.03M (Peak 48.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B197 • Innovation District
Fra:1 Mem:48.12M (Peak 48.12M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B162 • Innovation District
Fra:1 Mem:48.14M (Peak 48.14M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B163 • Innovation District
Fra:1 Mem:48.37M (Peak 48.37M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B164 • Innovation District
Fra:1 Mem:48.53M (Peak 48.53M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B196 • Innovation District
Fra:1 Mem:48.55M (Peak 48.55M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B165 • Innovation District
Fra:1 Mem:48.73M (Peak 48.73M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B166 • Innovation District
Fra:1 Mem:48.78M (Peak 48.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B167 • Innovation District
Fra:1 Mem:48.78M (Peak 48.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B195 • Innovation District
Fra:1 Mem:48.86M (Peak 48.86M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B168 • Innovation District
Fra:1 Mem:48.92M (Peak 48.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B169 • Garden Quarter
Fra:1 Mem:49.01M (Peak 49.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B170 • Garden Quarter
Fra:1 Mem:49.05M (Peak 49.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B171 • Garden Quarter
Fra:1 Mem:49.11M (Peak 49.11M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B172 • Garden Quarter
Fra:1 Mem:49.09M (Peak 49.11M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B194 • Innovation District
Fra:1 Mem:49.17M (Peak 49.17M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B173 • Garden Quarter
Fra:1 Mem:49.27M (Peak 49.27M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B174 • Garden Quarter
Fra:1 Mem:49.30M (Peak 49.32M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B175 • Garden Quarter
Fra:1 Mem:49.32M (Peak 49.32M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B193 • Innovation District
Fra:1 Mem:49.38M (Peak 49.38M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B176 • Garden Quarter
